category_id;category;description;category_type;category_gif;enabled_p;parent_only_p;aux_int1;aux_int2;aux_string1;aux_string2;sort_order;visible_tcl
88308;Improve Op & Results;Improve Operations and Results By Integrating & Optimizing the People, Process, and Technology;Main Goal;category;t;f;;;;;0;
88408;Other than these goals;Other than these goals;Main Goal;category;t;f;;;;;0;
88409;Innovate and Optimize our applications;Innovate and Optimize our applications for the cloud and mobile placing a heavy focus on analytics;Main Goal;category;t;f;;;;;0;
88403;Enable the Move via One Team Care Approach;Enable the Move to Value-based, Team Care via our One Team Care Approach;Main Goal;category;t;f;;;;;0;
88309;Expand QPro & Qcomplete;Continue to expand our Q Pro and Q Complete Customer Base;Main Goal;category;t;f;;;;;0;
